city,team,RPI,W,L,PCT,SOS,PWR,PF,PA,EWL,EWP,season
Milwaukee,Bucks,0.485,31,35,0.47,0.49,19,6535,6517,34-32,0.511,2011
Milwaukee,Bucks,0.478,35,47,0.427,0.495,20,7534,7603,38-44,0.462,2010
Milwaukee,Bucks,0.51,46,36,0.561,0.493,15,8009,7870,47-35,0.572,2009
Milwaukee,Bucks,0.48,34,48,0.415,0.502,24,8142,8231,37-45,0.455,2008
Milwaukee,Bucks,0.451,26,56,0.317,0.495,24,7956,8521,20-62,0.244,2007
Milwaukee,Bucks,0.456,28,54,0.341,0.494,27,8172,8531,27-55,0.33,2006
Milwaukee,Bucks,0.495,40,42,0.488,0.498,17,8020,8105,37-45,0.457,2005
Milwaukee,Bucks,0.465,30,52,0.366,0.499,23,7973,8218,31-51,0.378,2004
Milwaukee,Bucks,0.491,41,41,0.5,0.488,15,8039,7952,45-37,0.545,2003
Milwaukee,Bucks,0.496,42,40,0.512,0.491,15,8156,8141,42-40,0.508,2002
Minnesota,Timberwolves,0.463,29,53,0.354,0.499,0,8398,8688,30-52,0.364,2015
Minnesota,Timberwolves,0.43,16,66,0.195,0.508,30,8016,8737,16-66,0.194,2014
Minnesota,Timberwolves,0.505,40,42,0.488,0.51,0,8768,8549,49-33,0.603,2013
Minnesota,Timberwolves,0.476,31,51,0.378,0.508,19,7851,8045,33-49,0.401,2012
Minnesota,Timberwolves,0.479,26,40,0.394,0.508,22,6464,6609,27-39,0.409,2011
Minnesota,Timberwolves,0.434,17,65,0.207,0.509,30,8288,8832,21-61,0.259,2010
Minnesota,Timberwolves,0.425,15,67,0.183,0.506,30,8051,8838,14-68,0.177,2009
Minnesota,Timberwolves,0.45,24,58,0.293,0.502,26,8019,8422,25-57,0.308,2008
Minnesota,Timberwolves,0.446,22,60,0.268,0.506,28,7839,8395,20-62,0.244,2007
Minnesota,Timberwolves,0.479,32,50,0.39,0.508,26,7881,8178,29-53,0.352,2006
Minnesota,Timberwolves,0.478,33,49,0.402,0.503,25,7522,7676,34-48,0.417,2005
Minnesota,Timberwolves,0.514,44,38,0.537,0.506,19,7934,7815,46-36,0.562,2004
Minnesota,Timberwolves,0.561,58,24,0.707,0.512,2,7753,7303,60-22,0.728,2003
Minnesota,Timberwolves,0.537,51,31,0.622,0.509,5,8046,7876,48-34,0.587,2002
New Orleans,Pelicans,0.468,30,52,0.366,0.501,0,8423,8734,29-53,0.355,2015
New Orleans,Pelicans,0.517,45,37,0.549,0.507,12,8147,8082,44-38,0.533,2014
New Orleans,Pelicans,0.488,34,48,0.415,0.512,0,8177,8399,32-50,0.391,2013
New Orleans,Pelicans,0.466,27,55,0.329,0.511,27,7714,8031,28-54,0.34,2012
New Orleans,Pelicans,0.462,21,45,0.318,0.51,20,5916,6164,22-44,0.337,2011
New Orleans,Pelicans,0.523,46,36,0.561,0.511,12,7784,7711,44-38,0.539,2010
New Orleans,Pelicans,0.491,37,45,0.451,0.504,22,8220,8422,33-49,0.401,2009
New Orleans,Pelicans,0.525,49,33,0.598,0.5,9,7857,7730,46-36,0.567,2008
New Orleans,Pelicans,0.551,56,26,0.683,0.507,5,8270,7837,58-24,0.708,2007
New Orleans,Pelicans,0.498,39,43,0.476,0.505,19,7833,7962,36-46,0.433,2006
New Orleans,Pelicans,0.496,38,44,0.463,0.507,19,7611,7842,31-51,0.379,2005
New Orleans,Pelicans,0.437,18,64,0.22,0.509,29,7252,7832,18-64,0.219,2004
New Orleans,Pelicans,0.49,41,41,0.5,0.487,17,7529,7537,41-41,0.496,2003
New Orleans,Pelicans,0.511,47,35,0.573,0.49,10,7699,7526,49-33,0.593,2002
New York,Knicks,0.472,32,50,0.39,0.499,0,8065,8289,32-50,0.389,2015
New York,Knicks,0.419,17,65,0.207,0.49,29,7535,8299,14-68,0.169,2014
New York,Knicks,0.479,37,45,0.451,0.488,0,8084,8149,38-44,0.467,2013
New York,Knicks,0.535,54,28,0.659,0.494,5,8196,7849,55-27,0.671,2012
New York,Knicks,0.502,36,30,0.545,0.488,10,6458,6247,42-24,0.634,2011
New York,Knicks,0.498,42,40,0.512,0.493,13,8734,8670,43-39,0.53,2010
New York,Knicks,0.457,29,53,0.354,0.492,23,8373,8686,29-53,0.353,2009
New York,Knicks,0.474,32,50,0.39,0.502,25,8627,8841,33-49,0.4,2008
New York,Knicks,0.442,23,59,0.28,0.496,25,7948,8490,21-61,0.252,2007
New York,Knicks,0.471,33,49,0.402,0.494,25,7994,8228,31-51,0.383,2006
New York,Knicks,0.441,23,59,0.28,0.495,29,7842,8367,21-61,0.256,2005
New York,Knicks,0.471,33,49,0.402,0.493,24,7977,8177,33-49,0.399,2004
New York,Knicks,0.486,39,43,0.476,0.489,18,7542,7663,36-46,0.435,2003
New York,Knicks,0.483,37,45,0.451,0.494,21,7860,7971,36-46,0.442,2002
Oklahoma City,Thunder,0.543,55,27,0.671,0.501,0,9038,8441,62-20,0.755,2015
Oklahoma City,Thunder,0.516,45,37,0.549,0.505,15,8524,8345,48-34,0.587,2014
Oklahoma City,Thunder,0.563,59,23,0.72,0.51,0,8705,8185,60-22,0.734,2013
Oklahoma City,Thunder,0.562,60,22,0.732,0.505,2,8669,7914,67-15,0.818,2012
Oklahoma City,Thunder,0.562,47,19,0.712,0.512,4,6802,6398,48-18,0.733,2011
Oklahoma City,Thunder,0.544,55,27,0.671,0.502,5,8596,8285,53-29,0.647,2010
Oklahoma City,Thunder,0.53,50,32,0.61,0.504,11,8322,8036,53-29,0.64,2009
Oklahoma City,Thunder,0.444,23,59,0.28,0.498,28,7952,8452,22-60,0.268,2008
Oklahoma City,Thunder,0.442,20,62,0.244,0.508,27,7999,8717,16-66,0.195,2007
Oklahoma City,Thunder,0.475,31,51,0.378,0.508,24,8130,8367,31-51,0.384,2006
Oklahoma City,Thunder,0.484,35,47,0.427,0.503,21,8411,8660,31-51,0.382,2005
Oklahoma City,Thunder,0.538,52,30,0.634,0.506,8,8113,7925,49-33,0.596,2004
Oklahoma City,Thunder,0.498,37,45,0.451,0.514,19,7964,8016,39-43,0.473,2003
Oklahoma City,Thunder,0.504,40,42,0.488,0.51,18,7555,7565,41-41,0.495,2002
Orlando,Magic,0.48,35,47,0.427,0.498,0,8369,8502,36-46,0.435,2015
Orlando,Magic,0.447,25,57,0.305,0.494,25,7847,8316,23-59,0.277,2014
Orlando,Magic,0.436,23,59,0.28,0.488,0,7914,8360,24-58,0.288,2013
Orlando,Magic,0.43,20,62,0.244,0.493,29,7718,8291,19-63,0.235,2012
Orlando,Magic,0.512,37,29,0.561,0.495,17,6215,6163,35-31,0.535,2011
Orlando,Magic,0.528,52,30,0.634,0.493,11,8135,7687,59-23,0.718,2010
Orlando,Magic,0.553,59,23,0.72,0.497,2,8426,7812,64-18,0.777,2009
Orlando,Magic,0.554,59,23,0.72,0.498,4,8286,7737,62-20,0.756,2008
Orlando,Magic,0.527,52,30,0.634,0.492,11,8567,8119,58-24,0.708,2007
Orlando,Magic,0.491,40,42,0.488,0.492,15,7771,7707,44-38,0.534,2006
Orlando,Magic,0.479,36,46,0.439,0.493,9,7784,7872,37-45,0.454,2005
Orlando,Magic,0.48,36,46,0.439,0.494,22,8160,8344,34-48,0.409,2004
Orlando,Magic,0.432,21,61,0.256,0.49,29,7711,8287,19-63,0.233,2003
Orlando,Magic,0.496,42,40,0.512,0.49,14,8078,8066,42-40,0.506,2002
Philadelphia,Seventysixers,0.405,10,72,0.122,0.5,0,7988,8827,13-69,0.161,2015
Philadelphia,Seventysixers,0.425,18,64,0.22,0.494,27,7542,8278,15-67,0.177,2014
Philadelphia,Seventysixers,0.424,19,63,0.232,0.489,0,8155,9012,13-69,0.161,2013
Philadelphia,Seventysixers,0.476,34,48,0.415,0.496,21,7640,7914,29-53,0.359,2012
Philadelphia,Seventysixers,0.502,35,31,0.53,0.493,16,6180,5900,45-21,0.682,2011
Philadelphia,Seventysixers,0.492,41,41,0.5,0.489,14,8119,7996,46-36,0.563,2010
Philadelphia,Seventysixers,0.454,27,55,0.329,0.495,26,8014,8334,28-54,0.344,2009
Philadelphia,Seventysixers,0.5,41,41,0.5,0.5,17,7987,7981,41-41,0.503,2008
Philadelphia,Seventysixers,0.494,40,42,0.488,0.496,13,7923,7889,42-40,0.518,2007
Philadelphia,Seventysixers,0.477,35,47,0.427,0.494,17,7785,8033,31-51,0.373,2006
Philadelphia,Seventysixers,0.485,38,44,0.463,0.492,20,8147,8307,34-48,0.42,2005
Philadelphia,Seventysixers,0.502,43,39,0.524,0.495,14,8128,8189,38-44,0.469,2004
Philadelphia,Seventysixers,0.467,33,49,0.402,0.489,23,7215,7419,32-50,0.387,2003
Philadelphia,Seventysixers,0.515,48,34,0.585,0.492,11,7941,7752,49-33,0.598,2002
Phoenix,Suns,0.447,23,59,0.28,0.502,0,8271,8817,21-61,0.258,2015
Phoenix,Suns,0.5,39,43,0.476,0.508,21,8397,8471,38-44,0.464,2014
Phoenix,Suns,0.528,48,34,0.585,0.509,0,8629,8413,49-33,0.603,2013
Phoenix,Suns,0.458,25,57,0.305,0.509,26,7804,8335,21-61,0.252,2012
Phoenix,Suns,0.508,33,33,0.5,0.511,15,6492,6508,32-34,0.49,2011
Phoenix,Suns,0.504,40,42,0.488,0.51,19,8611,8684,38-44,0.465,2010
Phoenix,Suns,0.54,54,28,0.659,0.5,3,9039,8637,56-26,0.679,2009
Phoenix,Suns,0.513,46,36,0.561,0.497,16,8974,8816,47-35,0.573,2008
Phoenix,Suns,0.547,55,27,0.671,0.505,7,9026,8612,56-26,0.685,2007
Phoenix,Suns,0.564,61,21,0.744,0.504,3,9037,8438,62-20,0.756,2006
Phoenix,Suns,0.544,54,28,0.659,0.505,4,8887,8431,58-24,0.705,2005
Phoenix,Suns,0.565,62,20,0.756,0.502,1,9054,8470,62-20,0.75,2004
Phoenix,Suns,0.474,29,53,0.354,0.514,21,7723,8030,28-54,0.345,2003
Phoenix,Suns,0.516,44,38,0.537,0.509,8,7834,7737,45-37,0.551,2002
Portland,Trailblazers,0.512,44,38,0.537,0.503,0,8622,8554,44-38,0.533,2015
Portland,Trailblazers,0.534,51,31,0.622,0.504,9,8429,8082,55-27,0.667,2014
Portland,Trailblazers,0.547,54,28,0.659,0.51,0,8753,8426,53-29,0.652,2013
Portland,Trailblazers,0.483,33,49,0.402,0.51,22,7995,8255,30-52,0.371,2012
Portland,Trailblazers,0.485,28,38,0.424,0.506,21,6415,6456,31-35,0.474,2011
Portland,Trailblazers,0.529,48,34,0.585,0.51,8,7896,7771,46-36,0.565,2010
Portland,Trailblazers,0.528,50,32,0.61,0.501,8,8045,7774,52-30,0.638,2009
Portland,Trailblazers,0.539,54,28,0.659,0.499,5,8153,7715,58-24,0.713,2008
Portland,Trailblazers,0.506,41,41,0.5,0.509,17,7820,7900,38-44,0.458,2007
Portland,Trailblazers,0.477,32,50,0.39,0.505,23,7717,8069,27-55,0.324,2006
Portland,Trailblazers,0.444,21,61,0.256,0.506,30,7285,8060,13-69,0.159,2005
Portland,Trailblazers,0.462,27,55,0.329,0.507,26,7621,7949,27-55,0.333,2004
Portland,Trailblazers,0.51,41,41,0.5,0.513,13,7440,7544,36-46,0.443,2003
Portland,Trailblazers,0.534,50,32,0.61,0.508,7,7803,7589,50-32,0.613,2002
Sacramento,Kings,0.476,33,49,0.402,0.5,0,8740,8943,33-49,0.406,2015
Sacramento,Kings,0.47,29,53,0.354,0.509,26,8310,8614,29-53,0.356,2014
Sacramento,Kings,0.471,28,54,0.341,0.514,0,8241,8479,32-50,0.385,2013
Sacramento,Kings,0.467,28,54,0.341,0.509,25,8219,8619,26-56,0.313,2012
Sacramento,Kings,0.464,22,44,0.333,0.508,28,6518,6893,19-47,0.284,2011
Sacramento,Kings,0.454,24,58,0.293,0.508,22,8151,8589,24-58,0.297,2010
Sacramento,Kings,0.454,25,57,0.305,0.504,28,8200,8558,27-55,0.331,2009
Sacramento,Kings,0.427,17,65,0.207,0.5,30,8248,8966,17-65,0.201,2008
Sacramento,Kings,0.495,38,44,0.463,0.506,16,8408,8593,34-48,0.411,2007
Sacramento,Kings,0.482,33,49,0.402,0.508,22,8303,8451,35-47,0.428,2006
Sacramento,Kings,0.513,44,38,0.537,0.505,11,8106,7980,46-36,0.564,2005
Sacramento,Kings,0.534,50,32,0.61,0.508,12,8505,8328,48-34,0.586,2004
Sacramento,Kings,0.551,55,27,0.671,0.512,6,8433,8022,57-25,0.695,2003
Sacramento,Kings,0.561,59,23,0.72,0.508,2,8342,7809,61-21,0.748,2002
San Antonio,Spurs,0.579,67,15,0.817,0.5,0,8490,7618,70-12,0.857,2015
San Antonio,Spurs,0.548,55,27,0.671,0.506,2,8461,7953,60-22,0.735,2014
San Antonio,Spurs,0.573,62,20,0.756,0.512,0,8639,8006,64-18,0.778,2013
San Antonio,Spurs,0.558,58,24,0.707,0.508,6,8448,7923,61-21,0.742,2012
San Antonio,Spurs,0.57,50,16,0.758,0.508,1,6841,6368,51-15,0.765,2011
San Antonio,Spurs,0.567,61,21,0.744,0.508,4,8502,8034,59-23,0.718,2010
San Antonio,Spurs,0.532,50,32,0.61,0.506,6,8312,7895,57-25,0.7,2009
San Antonio,Spurs,0.536,54,28,0.659,0.496,8,7958,7650,54-28,0.657,2008
San Antonio,Spurs,0.553,56,26,0.683,0.509,8,7820,7427,57-25,0.701,2007
San Antonio,Spurs,0.555,58,24,0.707,0.505,2,8079,7388,67-15,0.814,2006
San Antonio,Spurs,0.57,63,19,0.768,0.505,2,7837,7278,63-19,0.772,2005
San Antonio,Spurs,0.559,59,23,0.72,0.505,3,7888,7248,66-16,0.802,2004
San Antonio,Spurs,0.558,57,25,0.695,0.512,1,7501,6909,65-17,0.795,2003
San Antonio,Spurs,0.564,60,22,0.732,0.508,1,7856,7411,59-23,0.724,2002
Toronto,Raptors,0.542,56,26,0.683,0.496,0,8422,8053,56-26,0.677,2015
Toronto,Raptors,0.517,49,33,0.598,0.491,11,8527,8275,51-31,0.621,2014
Toronto,Raptors,0.513,48,34,0.585,0.489,0,8305,8039,52-30,0.631,2013
Toronto,Raptors,0.471,34,48,0.415,0.489,23,7971,8092,36-46,0.438,2012
Toronto,Raptors,0.455,23,43,0.348,0.491,24,5986,6204,24-42,0.357,2011
Toronto,Raptors,0.438,22,60,0.268,0.494,28,8124,8639,22-60,0.266,2010
Toronto,Raptors,0.494,40,42,0.488,0.497,20,8534,8680,35-47,0.43,2009
Toronto,Raptors,0.477,33,49,0.402,0.502,20,8121,8352,32-50,0.386,2008
Toronto,Raptors,0.496,41,41,0.5,0.494,19,8215,7977,51-31,0.619,2007
Toronto,Raptors,0.513,47,35,0.573,0.492,6,8157,8076,44-38,0.541,2006
Toronto,Raptors,0.454,27,55,0.329,0.495,26,8287,8532,31-51,0.382,2005
Toronto,Raptors,0.474,33,49,0.402,0.498,21,8178,8311,36-46,0.434,2004
Toronto,Raptors,0.467,33,49,0.402,0.489,27,7006,7253,30-52,0.361,2003
Toronto,Raptors,0.442,24,58,0.293,0.491,27,7453,7930,22-60,0.264,2002
Utah,Jazz,0.498,40,42,0.488,0.501,0,8010,7863,47-35,0.576,2015
Utah,Jazz,0.498,38,44,0.463,0.509,13,7801,7783,42-40,0.51,2014
Utah,Jazz,0.46,25,57,0.305,0.512,0,7791,8379,19-63,0.231,2013
Utah,Jazz,0.51,43,39,0.524,0.505,13,8038,8045,41-41,0.496,2012
Utah,Jazz,0.515,36,30,0.545,0.505,14,6577,6536,35-31,0.526,2011
Utah,Jazz,0.499,39,43,0.476,0.507,25,8153,8303,35-47,0.425,2010
Utah,Jazz,0.54,53,29,0.646,0.505,5,8547,8109,58-24,0.704,2009
Utah,Jazz,0.518,48,34,0.585,0.496,13,8492,8275,50-32,0.605,2008
Utah,Jazz,0.543,54,28,0.659,0.504,4,8710,8146,62-20,0.751,2007
Utah,Jazz,0.534,51,31,0.622,0.505,10,8322,8087,51-31,0.616,2006
Utah,Jazz,0.502,41,41,0.5,0.503,16,7573,7789,32-50,0.386,2005
Utah,Jazz,0.46,26,56,0.317,0.507,27,7625,7975,26-56,0.323,2004
Utah,Jazz,0.513,42,40,0.512,0.513,10,7271,7371,36-46,0.444,2003
Utah,Jazz,0.525,47,35,0.573,0.509,9,7762,7566,50-32,0.604,2002
Washington,Wizards,0.501,41,41,0.5,0.501,0,8534,8575,39-43,0.48,2015
Washington,Wizards,0.509,46,36,0.561,0.491,14,8080,8021,43-39,0.53,2014
Washington,Wizards,0.497,44,38,0.537,0.484,0,8254,8150,45-37,0.552,2013
Washington,Wizards,0.459,29,53,0.354,0.495,18,7644,7852,32-50,0.391,2012
Washington,Wizards,0.442,20,46,0.303,0.488,27,6180,6497,20-46,0.305,2011
Washington,Wizards,0.443,23,59,0.28,0.497,26,7977,8584,19-63,0.23,2010
Washington,Wizards,0.451,26,56,0.317,0.496,24,7892,8284,25-57,0.31,2009
Washington,Wizards,0.435,19,63,0.232,0.503,27,7877,8489,18-64,0.225,2008
Washington,Wizards,0.502,43,39,0.524,0.494,12,8104,8131,40-42,0.486,2007
Washington,Wizards,0.496,41,41,0.5,0.494,18,8556,8598,39-43,0.48,2006
Washington,Wizards,0.497,42,40,0.512,0.492,15,8336,8184,47-35,0.575,2005
Washington,Wizards,0.506,45,37,0.549,0.492,16,8241,8268,40-42,0.487,2004
Washington,Wizards,0.439,25,57,0.305,0.484,25,7528,7990,22-60,0.272,2003
Washington,Wizards,0.481,37,45,0.451,0.49,22,7502,7585,37-45,0.455,2002
Dallas,Mavericks,0.468,12,27,0.308,0.522,0,3728,3933,28-Nov,0.293,2016
Toronto,Raptors,0.555,25,13,0.658,0.521,0,4205,3968,27-11,0.723,2016
Portland,Trailblazers,0.496,18,23,0.439,0.515,0,4431,4523,17-24,0.416,2016
Miami,Heat,0.454,11,29,0.275,0.513,0,3922,4098,13-27,0.326,2016
Detroit,Pistons,0.493,18,23,0.439,0.511,0,4112,4138,19-22,0.474,2016
New Orleans,Pelicans,0.482,16,24,0.4,0.509,0,4098,4205,16-24,0.395,2016
LA Lakers,Lakers,0.468,15,28,0.349,0.508,0,4500,4742,13-30,0.296,2016
Houston,Rockets,0.568,31,10,0.756,0.506,0,4697,4405,30-11,0.743,2016
Memphis,Grizzlies,0.525,24,17,0.585,0.505,0,4067,4047,21-20,0.52,2016
Minnesota,Timberwolves,0.462,13,26,0.333,0.505,0,4034,4077,18-21,0.456,2016
Phoenix,Suns,0.455,12,27,0.308,0.504,0,4133,4367,28-Nov,0.287,2016
Brooklyn,Nets,0.43,8,30,0.211,0.503,0,3985,4326,30-Aug,0.205,2016
Cleveland,Cavaliers,0.561,28,10,0.737,0.503,0,4147,3930,27-11,0.708,2016
Milwaukee,Bucks,0.505,19,18,0.514,0.502,0,3888,3812,21-16,0.581,2016
San Antonio,Spurs,0.574,31,8,0.795,0.5,0,4163,3811,32-7,0.811,2016
Boston,Celtics,0.529,24,15,0.615,0.5,0,4176,4085,23-16,0.59,2016
Oklahoma City,Thunder,0.524,24,16,0.6,0.499,0,4272,4190,23-17,0.579,2016
Utah,Jazz,0.524,24,16,0.6,0.499,0,3935,3797,26-14,0.643,2016
Sacramento,Kings,0.479,16,22,0.421,0.498,0,3884,3978,15-23,0.403,2016
Washington,Wizards,0.498,19,19,0.5,0.497,0,4005,4032,18-20,0.472,2016
Denver,Nuggets,0.472,15,23,0.395,0.497,0,4136,4226,16-22,0.412,2016
Charlotte,Hornets,0.5,20,19,0.513,0.496,0,4113,4057,22-17,0.556,2016
New York,Knicks,0.483,18,22,0.45,0.495,0,4209,4324,16-24,0.391,2016
Golden State,Warriors,0.582,34,6,0.85,0.493,0,4700,4218,34-6,0.856,2016
Chicago,Bulls,0.487,19,21,0.475,0.491,0,4047,4058,20-20,0.489,2016
LA,Clippers,0.532,27,14,0.659,0.49,0,4421,4194,29-12,0.705,2016
Orlando,Magic,0.466,16,24,0.4,0.488,0,3954,4150,28-Dec,0.31,2016
Philadelphia,Seventysixers,0.438,11,25,0.306,0.483,0,3571,3802,27-Sep,0.262,2016
Atlanta,Hawks,0.505,22,16,0.579,0.481,0,3902,3899,19-19,0.503,2016
Indiana,Pacers,0.482,20,19,0.513,0.472,0,4133,4176,18-21,0.457,2016
